id,date,day,time,tasker_id,position,hourly_rate,num_completed_tasks,total_appearance,total_hired,hired,category,hired_rate
1,1,Friday,AM,1009185352,1,38,151,203,17,0,Furniture Assembly,0.08 
1,1,Friday,AM,1006892359,2,40,193,280,11,0,Furniture Assembly,0.04 
1,1,Friday,AM,1012023956,3,28,0,113,4,0,Furniture Assembly,0.04 
1,1,Friday,AM,1009733517,4,43,303,20,1,0,Furniture Assembly,0.05 
1,1,Friday,AM,1013579273,5,29,39,20,0,0,Furniture Assembly,0.00 
1,1,Friday,AM,1012043028,6,28,2,438,59,0,Furniture Assembly,0.13 
1,1,Friday,AM,1013470741,7,29,9,107,0,0,Furniture Assembly,0.00 
1,1,Friday,AM,1009557645,8,29,8,109,0,0,Furniture Assembly,0.00 
1,1,Friday,AM,1010800768,9,28,0,18,0,0,Furniture Assembly,0.00 
1,1,Friday,AM,1009072269,10,35,59,9,2,0,Furniture Assembly,0.22 
1,1,Friday,AM,1008733253,11,40,68,24,0,0,Furniture Assembly,0.00 
1,1,Friday,AM,1009198916,12,27,17,116,0,0,Furniture Assembly,0.00 
1,1,Friday,AM,1009856900,13,50,914,6,2,1,Furniture Assembly,0.33 
1,1,Friday,AM,1012314913,14,29,5,66,0,0,Furniture Assembly,0.00 
1,1,Friday,AM,1013307670,15,25,0,225,0,0,Furniture Assembly,0.00 
2,1,Friday,AM,1009185352,1,38,151,203,17,0,Furniture Assembly,0.08 
2,1,Friday,AM,1013579273,2,29,39,20,0,0,Furniture Assembly,0.00 
2,1,Friday,AM,1012023956,3,28,0,113,4,0,Furniture Assembly,0.04 
2,1,Friday,AM,1012043028,4,28,2,438,59,0,Furniture Assembly,0.13 
2,1,Friday,AM,1013470741,5,29,9,107,0,0,Furniture Assembly,0.00 
2,1,Friday,AM,1009557645,6,29,8,109,0,0,Furniture Assembly,0.00 
2,1,Friday,AM,1009072269,7,35,59,9,2,0,Furniture Assembly,0.22 
2,1,Friday,AM,1008733253,8,40,68,24,0,0,Furniture Assembly,0.00 
2,1,Friday,AM,1009198916,9,27,17,116,0,0,Furniture Assembly,0.00 
2,1,Friday,AM,1009856900,10,50,914,6,2,1,Furniture Assembly,0.33 
2,1,Friday,AM,1012314913,11,29,5,66,0,0,Furniture Assembly,0.00 
2,1,Friday,AM,1007558398,12,50,75,32,0,0,Furniture Assembly,0.00 
2,1,Friday,AM,1014501186,13,29,4,74,0,0,Furniture Assembly,0.00 
2,1,Friday,AM,1014508755,14,48,107,608,7,0,Furniture Assembly,0.01 
2,1,Friday,AM,1013307670,15,25,0,225,0,0,Furniture Assembly,0.00 
3,1,Friday,AM,1014201297,1,49,61,50,2,0,Moving Help,0.04 
3,1,Friday,AM,1013172333,2,30,1,64,5,0,Moving Help,0.08 
3,1,Friday,AM,1011985968,3,32,0,1,1,1,Moving Help,1.00 
3,1,Friday,AM,1014725966,4,60,136,57,8,0,Moving Help,0.14 
3,1,Friday,AM,1012007145,5,32,0,29,2,0,Moving Help,0.07 
3,1,Friday,AM,1010630139,6,70,121,42,0,0,Moving Help,0.00 
3,1,Friday,AM,1014983247,7,65,49,55,0,0,Moving Help,0.00 
3,1,Friday,AM,1010118053,8,70,7,74,0,0,Moving Help,0.00 
3,1,Friday,AM,1009004974,9,85,49,5,0,0,Moving Help,0.00 
3,1,Friday,AM,1012137181,10,85,8,24,0,0,Moving Help,0.00 
3,1,Friday,AM,1009114267,11,95,1053,182,11,0,Moving Help,0.06 
3,1,Friday,AM,1009684274,12,90,31,5,0,0,Moving Help,0.00 
3,1,Friday,AM,1009442527,13,95,266,21,0,0,Moving Help,0.00 
3,1,Friday,AM,1009393887,14,100,474,9,1,0,Moving Help,0.11 
3,1,Friday,AM,1011918831,15,40,0,7,0,0,Moving Help,0.00 
4,1,Friday,AM,1007283421,1,65,155,290,2,0,Moving Help,0.01 
4,1,Friday,AM,1009062537,2,90,52,181,25,0,Moving Help,0.14 
4,1,Friday,AM,1008127794,3,95,622,65,4,0,Moving Help,0.06 
4,1,Friday,AM,1009114267,4,95,1053,182,11,1,Moving Help,0.06 
4,1,Friday,AM,1009375265,5,100,861,112,12,0,Moving Help,0.11 
4,1,Friday,AM,1010591308,6,220,937,131,4,0,Moving Help,0.03 
4,1,Friday,AM,1009927251,7,180,1165,96,8,0,Moving Help,0.08 
4,1,Friday,AM,1008746021,8,225,676,82,3,0,Moving Help,0.04 
4,1,Friday,AM,1014157578,9,200,234,262,1,0,Moving Help,0.00 
4,1,Friday,AM,1008530523,10,200,231,162,0,0,Moving Help,0.00 
4,1,Friday,AM,1009917428,11,160,136,29,1,0,Moving Help,0.03 
4,1,Friday,AM,1009606547,12,150,818,106,13,0,Moving Help,0.12 
4,1,Friday,AM,1008992879,13,140,968,52,0,0,Moving Help,0.00 
4,1,Friday,AM,1007338344,14,200,21,12,2,0,Moving Help,0.17 
4,1,Friday,AM,1009966564,15,120,983,45,1,0,Moving Help,0.02 
5,1,Friday,AM,1008851469,1,55,80,13,0,0,Moving Help,0.00 
5,1,Friday,AM,1010630139,2,70,121,42,0,0,Moving Help,0.00 
5,1,Friday,AM,1008246075,3,75,183,8,0,0,Moving Help,0.00 
5,1,Friday,AM,1010207016,4,76,124,11,0,0,Moving Help,0.00 
5,1,Friday,AM,1014503419,5,75,19,103,5,0,Moving Help,0.05 
5,1,Friday,AM,1012164831,6,250,11,59,0,0,Moving Help,0.00 
6,1,Friday,AM,1008851469,1,55,80,13,0,0,Moving Help,0.00 
6,1,Friday,AM,1010630139,2,70,121,42,0,0,Moving Help,0.00 
6,1,Friday,AM,1008246075,3,75,183,8,0,0,Moving Help,0.00 
6,1,Friday,AM,1010207016,4,76,124,11,0,0,Moving Help,0.00 
6,1,Friday,AM,1014503419,5,75,19,103,5,0,Moving Help,0.05 
7,1,Friday,AM,1009185352,1,38,151,203,17,0,Furniture Assembly,0.08 
7,1,Friday,AM,1006892359,2,40,193,280,11,0,Furniture Assembly,0.04 
7,1,Friday,AM,1013307670,3,25,0,225,0,0,Furniture Assembly,0.00 
7,1,Friday,AM,1009733517,4,43,304,20,1,0,Furniture Assembly,0.05 
7,1,Friday,AM,1013827416,5,29,10,37,0,0,Furniture Assembly,0.00 
7,1,Friday,AM,1012043028,6,28,3,438,59,0,Furniture Assembly,0.13 
7,1,Friday,AM,1013470741,7,29,9,107,0,0,Furniture Assembly,0.00 
7,1,Friday,AM,1009623489,8,45,318,50,9,0,Furniture Assembly,0.18 
7,1,Friday,AM,1009557645,9,29,8,109,0,0,Furniture Assembly,0.00 
7,1,Friday,AM,1010800768,10,28,0,18,0,0,Furniture Assembly,0.00 
7,1,Friday,AM,1009072269,11,35,59,9,2,1,Furniture Assembly,0.22 
7,1,Friday,AM,1008733253,12,40,68,24,0,0,Furniture Assembly,0.00 
7,1,Friday,AM,1009198916,13,27,17,116,0,0,Furniture Assembly,0.00 
7,1,Friday,AM,1009856900,14,50,914,6,2,0,Furniture Assembly,0.33 
7,1,Friday,AM,1012023956,15,28,0,113,4,0,Furniture Assembly,0.04 
8,1,Friday,AM,1009733517,1,43,304,20,1,0,Furniture Assembly,0.05 
8,1,Friday,AM,1013827416,2,29,10,37,0,0,Furniture Assembly,0.00 
8,1,Friday,AM,1013307670,3,25,0,225,0,0,Furniture Assembly,0.00 
8,1,Friday,AM,1012043028,4,28,3,438,59,0,Furniture Assembly,0.13 
8,1,Friday,AM,1013470741,5,29,9,107,0,0,Furniture Assembly,0.00 
8,1,Friday,AM,1009623489,6,45,318,50,9,0,Furniture Assembly,0.18 
8,1,Friday,AM,1009557645,7,29,8,109,0,0,Furniture Assembly,0.00 
8,1,Friday,AM,1010800768,8,28,0,18,0,0,Furniture Assembly,0.00 
8,1,Friday,AM,1009072269,9,35,59,9,2,1,Furniture Assembly,0.22 
8,1,Friday,AM,1008733253,10,40,68,24,0,0,Furniture Assembly,0.00 
8,1,Friday,AM,1009198916,11,27,17,116,0,0,Furniture Assembly,0.00 
8,1,Friday,AM,1009856900,12,50,914,6,2,0,Furniture Assembly,0.33 
8,1,Friday,AM,1012314913,13,29,5,66,0,0,Furniture Assembly,0.00 
8,1,Friday,AM,1007558398,14,50,75,32,0,0,Furniture Assembly,0.00 
8,1,Friday,AM,1014501186,15,29,4,74,0,0,Furniture Assembly,0.00 
9,1,Friday,AM,1013618541,1,28,33,19,11,0,Furniture Assembly,0.58 
9,1,Friday,AM,1007081910,2,42,353,198,19,1,Furniture Assembly,0.10 
9,1,Friday,AM,1013307670,3,25,0,225,0,0,Furniture Assembly,0.00 
9,1,Friday,AM,1014318666,4,42,191,159,3,0,Furniture Assembly,0.02 
9,1,Friday,AM,1007955495,5,42,426,84,1,0,Furniture Assembly,0.01 
9,1,Friday,AM,1009226247,6,45,472,94,16,0,Furniture Assembly,0.17 
9,1,Friday,AM,1010257931,7,45,838,109,10,0,Furniture Assembly,0.09 
9,1,Friday,AM,1010258401,8,47,486,151,13,0,Furniture Assembly,0.09 
9,1,Friday,AM,1009347914,9,44,189,112,5,0,Furniture Assembly,0.04 
9,1,Friday,AM,1015015238,10,38,112,290,4,0,Furniture Assembly,0.01 
